x,y,z,u
0.0,0.0,0.0,0.2
7.792173078648183e-05,2.1853482043656565e-06,7.728329248551394e-14,0.2
0.00015441550576227668,8.681207184624925e-06,1.3222661748365508e-12,0.2
0.00022959129129393834,1.940251590465015e-05,6.7442555077686986e-12,0.2
0.00030355557699278385,3.427014684580909e-05,2.1096784173196603e-11,0.2
0.00037641148130088727,5.321078161147282e-05,5.0850565091960364e-11,0.2
0.00044826309006687514,7.615162815223827e-05,1.0381077099135446e-10,0.2
0.000519233408504627,0.00010299842520747625,1.8749738580849885e-10,0.2
0.0005894087062117549,0.00013370324480818118,3.1390645126909975e-10,0.2
0.0006588673917677793,0.00016822967353863824,4.969029988595101e-10,0.2
0.0007276873425352617,0.0002065439139081946,7.515734675049759e-10,0.2
0.0007959459046598059,0.0002486147843512598,1.0942257035696398e-09,0.2
0.0008637198930700566,0.00029441371922730536,1.5423889608565377e-09,0.2
0.0009310855914777,0.00034391476882086506,2.1148139006076006e-09,0.2
0.0009981187523774642,0.0003970945993415344,2.8314725915036507e-09,0.2
0.0010648945970471188,0.00045393249292397176,3.7135585096644094e-09,0.2
0.0011314878155474749,0.0005144103476278971,4.783486538648491e-09,0.2
0.0011979725667223848,0.0005785126774380928,6.064892969453405e-09,0.2
0.0012644224781987428,0.0006462266122644031,7.582635500515556e-09,0.2
0.001330910646386484,0.0007175418979417342,9.362793237710227e-09,0.2
0.0013975096364785865,0.0007924508962300553,1.1432666694351629e-08,0.2
0.0014642914824510684,0.0008709485848143973,1.3820777791192843e-08,0.2
0.00153132768706299,0.0009530325573048524,1.6556869856425833e-08,0.2
0.0015986892218564528,0.0010387030232365765,1.96719076256815e-08,0.2
0.0016664465271566005,0.001127962808069786,2.3198077242029595e-08,0.2
0.0017346695120716178,0.0012208173531897612,2.716878625597879e-08,0.2
0.0018034275544927315,0.001317274715906843,3.161866362547665e-08,0.2
0.001872779229680298,0.0014173624973118331,3.659441740669784e-08,0.2
0.0019427694465950043,0.0015211291880101458,4.2148047984436706e-08,0.2
0.002013451960423197,0.0016286093366238415,4.831883654969951e-08,0.2
0.0020848810594769293,0.0017398398679692572,5.514940557353881e-08,0.2
0.002157111481741229,0.0018548602294456685,6.268583196520215e-08,0.2
0.0022301984148740965,0.0019737123910352843,7.097764707213194e-08,0.2
0.0023041974962065047,0.0020964408453032503,8.007783667996564e-08,0.2
0.0023791648127424007,0.0022230926073976485,9.004284101253557e-08,0.2
0.0024551569011587045,0.0023537172150494964,1.0093255473186907e-07,0.2
0.0025322307478053098,0.002488366728572747,1.1281032693818836e-07,0.2
0.0026104437887050826,0.002627095730864289,1.2574296116991063e-07,0.2
0.002689853909553864,0.002769961327403949,1.398007154036482e-07,0.2
0.0027705194457204665,0.002917023146254487,1.5505730205420806e-07,0.2
0.0028524991822466775,0.0030683433380616007,1.7158988797459235e-07,0.2
0.0029358523538472554,0.0032239865760539223,1.8947909445599804e-07,0.2
0.003020638644909935,0.0033840200560430207,2.088089972278171e-07,0.2
0.0031069181894954213,0.0035485134964233995,2.2966712645763652e-07,0.2
0.003194751571337394,0.0037175391381724984,2.52144466751238e-07,0.2
0.003284199823842508,0.0038911717448506964,2.7633545715259853e-07,0.2
0.0033753244300903863,0.004069488602601305,3.023379911438899e-07,0.2
0.003468187738601773,0.004252571612010613,3.302637378744909e-07,0.2
0.0035628514260885435,0.004440518166445015,3.602703296813261e-07,0.2
0.0036593712640046417,0.004633422674540934,3.9246020683605965e-07,0.2
0.0037578037118873977,0.004831381217033923,4.269357095412775e-07,0.2
0.0038582066727636524,0.005034493258944455,4.638099009456363e-07,0.2
0.00396063949314976,0.005242861649577932,5.032065671438633e-07,0.2
0.004065162963051586,0.005456592622524677,5.452602171767561e-07,0.2
0.004171839315964508,0.005675795795659946,5.901160830311835e-07,0.2
0.004280732228873416,0.005900584171143914,6.379301196400843e-07,0.2
0.004391906822252711,0.006131074135421679,6.888690048824682e-07,0.2
0.004505429660066307,0.006367385459223274,7.431101395834155e-07,0.2
0.004621368749767629,0.006609641297563647,8.008416475140765e-07,0.2
0.004739793542299616,0.0068579681897426754,8.622623753916731e-07,0.2
0.004860774932094714,0.007112496059345164,9.275818928794963e-07,0.2
0.0049843852570748875,0.00737335821424084,9.970204925869101e-07,0.2
0.005110698298651609,0.007640691346584358,1.0708091900693467e-06,0.2
0.005239789281725864,0.007914635532815297,1.1491897238283097e-06,0.2
0.0053717348746881504,0.00819533423365816,1.2324145553113742e-06,0.2
0.005506613189418476,0.008482934294122377,1.3207468689121847e-06,0.2
