x,x_dot,u
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.0,0.77618
0.0,0.057499999999999996,0.77618
0.00115,0.057499999999999996,0.77618
0.00115,0.057499999999999996,0.77618
0.0023,0.057499999999999996,0.77618
0.0023,0.11499999999999999,0.77618
0.0046,0.11499999999999999,0.77618
0.0046,0.057499999999999996,0.77618
0.00575,0.11499999999999999,0.77618
0.0069,0.22999999999999998,0.77618
0.01035,0.22999999999999998,0.77618
0.0115,0.17299999999999996,0.77618
0.01381,0.23049999999999998,0.77618
0.01611,0.2875000000000001,0.77618
0.01956,0.345,0.77618
0.02301,0.2874999999999999,0.77618
0.02531,0.2875000000000001,0.77618
0.02876,0.4025000000000001,0.77618
0.03336,0.40299999999999986,0.77618
0.03682,0.40299999999999986,0.77618
0.04142,0.45999999999999996,0.77618
0.04602,0.45999999999999996,0.77618
0.05062,0.45999999999999996,0.77618
0.05522,0.46050000000000013,0.77618
0.05983,0.518,0.77618
0.06558,0.5175000000000003,0.77618
0.07018,0.5174999999999998,0.77618
0.07593,0.5174999999999998,0.77618
0.08053,0.4604999999999998,0.77618
0.08514,0.4604999999999998,0.77618
0.08974,0.5750000000000005,0.77618
0.09664,0.5749999999999998,0.77618
0.10124,0.45999999999999996,0.77618
0.10584,0.46050000000000046,0.77618
0.11045,0.4604999999999998,0.77618
0.11505,0.45999999999999996,0.77618
0.11965,0.34500000000000014,0.77618
0.12195,0.3449999999999995,0.77618
0.12655,0.4604999999999998,0.77618
0.13116,0.3455,0.77618
0.13346,0.22999999999999965,0.77618
0.13576,0.28750000000000026,0.77618
0.13921,0.23000000000000104,0.77618
0.14036,0.22999999999999965,0.77618
0.14381,0.17249999999999904,0.77618
0.14381,0.057500000000000606,0.77618
0.14496,0.057500000000000606,0.77618
0.14496,0.0,0.77618
0.14496,0.0,0.77618
0.14496,0.0,0.77618
0.14496,-0.057500000000000606,0.77618
0.14381,-0.057500000000000606,0.77618
0.14381,-0.05749999999999922,0.77618
0.14266,-0.17249999999999904,0.77618
0.14036,-0.23000000000000104,0.77618
0.13806,-0.23000000000000104,0.77618
0.13576,-0.22999999999999965,0.77618
0.13346,-0.28799999999999937,0.77618
0.13,-0.3455,0.77618
0.12655,-0.28750000000000026,0.77618
0.12425,-0.28749999999999953,0.77618
0.1208,-0.34500000000000014,0.77618
0.11735,-0.28750000000000026,0.77618
0.11505,-0.3449999999999995,0.77618
0.11045,-0.4025000000000001,0.77618
0.107,-0.4030000000000006,0.77618
0.10239,-0.28800000000000003,0.77618
0.10124,-0.28749999999999953,0.77618
0.09664,-0.4025000000000001,0.77618
0.09319,-0.34500000000000014,0.77618
0.08974,-0.22999999999999965,0.77618
0.08859,-0.23000000000000034,0.77618
0.08514,-0.23000000000000034,0.77618
0.08399,-0.23049999999999946,0.77618
0.08053,-0.23049999999999946,0.77618
0.07938,-0.11500000000000052,0.77618
0.07823,-0.17250000000000043,0.77618
0.07593,-0.11499999999999982,0.77618
0.07593,-0.05749999999999991,0.77618
0.07478,-0.05749999999999991,0.77618
0.07478,0.0,0.77618
0.07478,0.0,0.77618
0.07478,0.05749999999999991,0.77618
0.07593,0.17249999999999974,0.77618
0.07823,0.11499999999999982,0.77618
0.07823,0.057500000000000606,0.77618
0.07938,0.11500000000000052,0.77618
0.08053,0.23049999999999946,0.77618
0.08399,0.23049999999999946,0.77618
0.08514,0.23000000000000034,0.77618
0.08859,0.23000000000000034,0.77618
0.08974,0.22999999999999965,0.77618
0.09319,0.34500000000000014,0.77618
0.09664,0.4025000000000001,0.77618
0.10124,0.3449999999999995,0.77618
0.10354,0.28800000000000003,0.77618
0.107,0.34550000000000064,0.77618
0.11045,0.28750000000000026,0.77618
0.11275,0.28749999999999953,0.77618
0.1162,0.34500000000000014,0.77618
0.11965,0.28750000000000026,0.77618
0.12195,0.28750000000000026,0.77618
0.1254,0.3449999999999995,0.77618
0.12885,0.28799999999999937,0.77618
0.13116,0.28800000000000076,0.77618
0.13461,0.3449999999999995,0.77618
0.13806,0.22999999999999965,0.77618
0.13921,0.23000000000000104,0.77618
0.14266,0.22999999999999965,0.77618
0.14381,0.11499999999999982,0.77618
0.14496,0.17250000000000043,0.77618
0.14726,0.11499999999999982,0.77618
0.14726,0.05749999999999922,0.77618
0.14841,0.05749999999999922,0.77618
0.14841,0.0,0.77618
0.14841,0.0,0.77618
0.14841,0.0,0.77618
0.14841,0.0,0.77618
0.14841,-0.05749999999999922,0.77618
0.14726,-0.17249999999999904,0.77618
0.14496,-0.17250000000000043,0.77618
0.14381,-0.11499999999999982,0.77618
0.14266,-0.17249999999999904,0.77618
0.14036,-0.17250000000000043,0.77618
0.13921,-0.23000000000000104,0.77618
0.13576,-0.22999999999999965,0.77618
0.13461,-0.22999999999999965,0.77618
0.13116,-0.28800000000000076,0.77618
0.12885,-0.28799999999999937,0.77618
0.1254,-0.22999999999999965,0.77618
0.12425,-0.23000000000000034,0.77618
0.1208,-0.34500000000000014,0.77618
0.11735,-0.28750000000000026,0.77618
0.11505,-0.22999999999999965,0.77618
0.11275,-0.22999999999999965,0.77618
0.11045,-0.28750000000000026,0.77618
0.107,-0.23050000000000015,0.77618
0.10584,-0.23050000000000015,0.77618
0.10239,-0.23000000000000034,0.77618
0.10124,-0.17249999999999974,0.77618
0.09894,-0.22999999999999965,0.77618
0.09664,-0.23000000000000034,0.77618
0.09434,-0.17250000000000043,0.77618
0.09319,-0.11499999999999982,0.77618
0.09204,-0.05749999999999991,0.77618
0.09204,-0.11499999999999982,0.77618
0.08974,-0.11499999999999982,0.77618
0.08974,0.0,0.77618
0.08974,0.0,0.77618
0.08974,0.0,0.77618
0.08974,0.0,0.77618
0.08974,0.11499999999999982,0.77618
0.09204,0.17249999999999974,0.77618
0.09319,0.05749999999999991,0.77618
0.09319,0.05749999999999991,0.77618
0.09434,0.17250000000000043,0.77618
0.09664,0.17250000000000043,0.77618
0.09779,0.11499999999999982,0.77618
0.09894,0.17249999999999974,0.77618
0.10124,0.22999999999999965,0.77618
0.10354,0.23000000000000034,0.77618
0.10584,0.23050000000000015,0.77618
0.10815,0.28800000000000003,0.77618
0.1116,0.23000000000000034,0.77618
0.11275,0.22999999999999965,0.77618
0.1162,0.22999999999999965,0.77618
0.11735,0.23000000000000034,0.77618
0.1208,0.23000000000000034,0.77618
0.12195,0.23000000000000034,0.77618
