x,omega,u
0.0009730593607305943,-0.46027136318065426,0.0
0.0009712639306156581,-0.3831736297715117,1.8216
0.0009695100441841045,-0.304491399324105,1.8216
0.000967797701435934,-0.2242246718384342,1.8216
0.0009661269023711462,-0.1423734473144993,1.8216
0.0009644976469897411,-0.05893772575230033,1.8216
0.0009629099352917189,0.02608249284816283,1.8216
0.0009613637672770795,0.11268720848689001,1.8216
0.000959859142945823,0.20087642116388144,1.8216
0.0009583960622979492,0.2906501308791369,1.8216
0.0009569745253334581,0.38200833763265646,1.8216
0.00095559453205235,0.47495104142444006,1.8216
0.0009542560824546246,0.5694782422544877,1.8216
0.000952959176540282,0.6655899401227998,1.8216
0.0009517038143093224,0.7632861350293758,1.8216
0.0009504899957617454,0.8625668269742157,1.8216
0.0009493177208975513,0.96343201595732,1.8216
0.0009481869897167399,1.0658817019786884,1.8216
0.0009470978022193115,1.1699158850383207,1.8216
0.0009460501584052657,1.275534565136217,1.8216
0.0009450440582746029,1.3827377422723781,1.8216
0.0009440795018273228,1.4915254164468028,1.8216
0.0009431564890634255,1.6018975876594916,1.8216
0.0009422750199829111,1.7138542559104446,1.8216
0.0009414350945857793,1.8273954211996617,1.8216
0.0009406367128720305,1.942521083527143,1.8216
0.0009398798748416645,2.0592312428928885,1.8216
0.0009391645804946812,2.1775258992968975,1.8216
0.0009384908298310807,2.297405052739171,1.8216
0.0009378586228508632,2.418868703219709,1.8216
0.0009372679595540283,2.541916850738511,1.8216
0.0009367188399405764,2.666549495295577,1.8216
0.0009362112640105071,2.7927666368909065,1.8216
0.0009357452317638208,2.9205682755245004,1.8216
0.0009353207432005172,3.049954411196359,1.8216
0.0009349377983205738,3.180925043906404,1.8216
0.0009095739415647927,3.3276088467895875,1.8216
0.0009066966420320393,3.4753223685338535,1.8216
0.0009489635849641996,3.6238124647121666,1.8216
0.0011278938670737674,3.77236802860696,1.8216
0.0011209136894026188,3.921242997715394,1.8216
0.0011361734432802618,4.070069850041924,1.8216
0.001192105461835906,4.21850113750136,1.8216
0.0012042110914444089,4.366205988575575,1.8216
0.001168264979993093,4.512866700872446,1.8216
0.001174967494065017,4.660007801965144,1.8216
0.0011747695224353582,4.807940864785945,1.8216
0.0011161330100914932,4.956651999822669,1.8216
0.0011235527518895115,5.106152162279082,1.8216
0.0010844525161690548,5.256473986941683,1.8216
0.0009894638827605059,5.407668711474892,1.8216
0.0010003053460728396,5.559429634388883,1.8216
0.0009662886191478595,5.712165233380365,1.8216
0.0009574763650395291,5.865878452790869,1.8216
0.0009685409658666478,6.020593636591572,1.8216
0.0009541670511454441,6.176353469364158,1.8216
0.0009566081420026779,6.333216005710098,1.8216
0.0009312610625036474,6.4908782343325555,1.8216
0.0009268704544119766,6.649587074221903,1.8216
0.0009145853081562411,6.8093909389636575,1.8216
0.0009892701054450346,6.9703519419541395,1.8216
0.0010476264376011626,7.132543146880738,1.8216
0.0010199733241617417,7.296045903682991,1.8216
0.0010128471843568615,7.460573716238659,1.8216
0.0010035903329446358,7.626464653340487,1.8216
