x,x_dot,omega,omega_dot,u,X_max,u_max,omega_max,x_offset,omega_offset
0.12513472167483425,-0.048553897381675704,-0.0065502654911817615,0.00276085109359947,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.12392087424029236,-0.04791186395506353,-0.006481244213841775,0.0028011099392855066,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.12273912847708107,-0.04662779710183251,-0.006410209994217486,0.002881627630646477,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.12158948438520073,-0.04534373024859484,-0.006337162832309451,0.0029621453220052274,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.12047194196465133,-0.044059663395361603,-0.006262102728117225,0.0030426630133728594,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11938650121543265,-0.04277559654213059,-0.006185029681640808,0.0031231807047404914,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.1183331621375448,-0.041491529688895135,-0.0061059436928802,0.0032036983960992416,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.1173119247309879,-0.04020746283565968,-0.006024844761835846,0.0032842160874624327,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11632278899576182,-0.038923395982426445,-0.005941732888507079,0.0033647337788300646,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11536575493186657,-0.03763932912919321,-0.005856608072894343,0.003445251470188815,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11444082253930216,-0.036355262275957756,-0.005769470314997638,0.003525769161556447,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11354799181806868,-0.03507119542272452,-0.00568031961481652,0.0036062868529218584,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11268726276816593,-0.03378712856949129,-0.005589155972351545,0.0036868045442761677,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11185863538959412,-0.03250306171625583,-0.005495979387602712,0.0037673222356437996,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11106210968235314,-0.031218994863024818,-0.005400789860569355,0.003847839927009211,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.11029768564644288,-0.029934928009789363,-0.005303587391252251,0.003928357618365741,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10956536328186367,-0.02865086115655391,-0.005204371979651068,0.004008875309733373,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10886514258861518,-0.027366794303322894,-0.005103143625765583,0.0040893930010987845,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10819702356669753,-0.02608272745008966,-0.004999902329596129,0.004169910692459755,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.1075610062161107,-0.024798660596854205,-0.004894648091142595,0.004250428383827387,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10695709053685482,-0.02351459374361875,-0.004787380910404759,0.004330946075188358,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10638527652892976,-0.022230526890385516,-0.004678100787383177,0.004411463766547108,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
0.10584556419233554,-0.02094646003715228,-0.004566807722077404,0.00449198145791474,0.9871539714130632,0.28665565427106315,1.8239100000000001,1006.8452765252051,0.4124702940612865,0.9782829885519563
