time,x,y,z,u
0.0,-7.682924645773436,7.966948983504659,26.820980671924637,0.5407732923039993
0.002,-7.372747213907911,7.9319985180566155,26.64783329817783,0.56560722600609
0.004,-7.0689685960852175,7.895437670275956,26.48042367416363,0.7402665543348358
0.006,-6.77208663196805,7.857535555918184,26.318612187978065,0.6894986654433033
0.008,-6.480355526146733,7.8185444041708,26.162264716977617,1.1079929576762855
0.01,-6.196853674032431,7.778696030375641,26.011233081338126,0.6192270350355118
0.012,-5.919845890248923,7.738201766729543,25.865356336493747,0.5837322727835257
0.014,-5.649794121176272,7.697258135555286,25.72448177557876,-0.0726011294084804
0.016,-5.385739582156738,7.656046679199802,25.588459506195342,0.29667162963050575
0.018000000000000002,-5.127240084969939,7.614737253638535,25.45714978640548,0.579580331296044
0.02,-4.871937098823091,7.57349329419681,25.330433929431326,1.3113042812830202
0.022,-4.62542007564379,7.5324571597374055,25.208168515045077,0.4969797890617502
0.024,-4.38350938622844,7.491754481317163,25.090200555201307,0.8914489730191665
0.026000000000000002,-4.147639559735551,7.4515062366865115,24.97639870372369,0.7535857214349684
0.028,-3.9180790252419415,7.411817084512208,24.866620211508412,0.37423466574073
0.03,-3.6921489695042102,7.372788345388296,24.7607418926791,0.9979330564399661
0.032,-3.4726273792275726,7.334511204401686,24.658641261602938,0.6366871864624842
0.034,-3.2577086463521012,7.2970643681740865,24.56019061916597,0.8091597831303172
0.036000000000000004,-3.0429625504846056,7.260539367909183,24.46530967270664,1.7568927753389274
0.038,-2.8366755608710044,7.225006910711793,24.37389126182651,1.1499764102296883
0.04,-2.633188490049012,7.190520745872533,24.28581166093019,1.5236285912362453
0.042,-2.431769394893833,7.157150688440429,24.200995196165977,1.9108304823653708
0.044,-2.236229352317065,7.124948835679909,24.119345794061978,1.7390553108988926
0.046,-2.0491448340986342,7.09393588145164,24.040724222088418,1.012715669675013
0.048,-1.8680976624660521,7.064124422275642,23.964993169972857,0.38935202210787934
0.05,-1.6913227547035308,7.035536983775157,23.892047625058925,0.3106422161003485
0.052000000000000005,-1.5178379016061563,7.008201758403966,23.821804159268392,0.6945016047786586
0.054,-1.345697053182399,6.982154517755871,23.754201838659007,1.343637598829858
0.056,-1.1810261565208007,6.957408995415778,23.689152183955432,-0.09083170338143487
0.058,-1.0155285587970486,6.933984104561839,23.626584231966742,1.5209638308476294
0.06,-0.8581792146540881,6.911891430832333,23.56642381883497,0.28433113784535724
0.062,-0.7038678012643222,6.891121797582441,23.508572390981627,0.5782998893589122
0.064,-0.5532339299876754,6.871681809067653,23.452964152920412,-0.4704811441336678
0.066,-0.40469175401927193,6.853579153444389,23.39954158884349,0.9268507321232677
0.068,-0.25432883495238323,6.836844018738945,23.34828645715353,1.8542343509809482
0.07,-0.10917320509147754,6.821489705204403,23.299160265953084,1.572403752824402
0.07200000000000001,0.02968338629138248,6.807488893246857,23.25207084060488,0.9431940687388041
0.074,0.16659631791157223,6.794826592002344,23.206950153940145,1.1957830619073901
0.076,0.2977305784816634,6.783487374139169,23.163735093092143,-0.025644403194510224
0.078,0.4260913571337634,6.773449458588629,23.12235854034075,0.1349165772429528
0.08,0.5521713875984909,6.764705671550326,23.08277838918873,0.4938385954671421
0.082,0.6753862465310131,6.757246426281191,23.044953095305893,0.37242459937351824
0.084,0.7962022008207035,6.751059732617263,23.008841496244806,0.4770340709544385
0.08600000000000001,0.9146960758915232,6.74613454646814,22.97440718748228,0.5644122057937799
0.088,1.0360861199791347,6.742484970627566,22.94165061833554,1.7346466698166103
0.09,1.1520755875796092,6.740107995762033,22.910552118539847,1.2351485873692618
0.092,1.263176427294574,6.7389598366064165,22.881040714912967,0.4839609941803235
0.094,1.3726230012709641,6.739014191048719,22.853071671216902,0.7177987544834352
0.096,1.482196612423612,6.740269107628949,22.82663485142822,1.2912381003528843
0.098,1.587966361605458,6.742710270022262,22.801706295584502,-0.9074628359963783
0.1,1.6916817296641273,6.746311024560168,22.77824820411403,0.9019121322549454
0.10200000000000001,1.7920889228954,6.7510460470342775,22.75622672026735,0.3717404509597195
0.10400000000000001,1.894629884406076,6.756911042179917,22.735637043550437,1.4720231703479651
0.106,1.9915609656791997,6.763888344031566,22.716459169222386,0.543046831009038
0.108,2.086474578011437,6.771937758232345,22.698645806130955,0.4125355921189019
0.11,2.1837258322562008,6.781060212066377,22.682203949366397,1.4879557196689657
0.112,2.2778908213463662,6.791249893866808,22.667133728910024,1.237457821054427
0.114,2.376048925565346,6.802509321608312,22.65344738216625,2.093397031252869
0.116,2.464325463736916,6.814803401289054,22.641110994070043,0.5056290677869331
0.11800000000000001,2.5515134221286853,6.828069752864397,22.63005673678646,0.6788546622568188
0.12,2.637095580331325,6.8422894329483634,22.620273113206718,0.6199217402654724
0.122,2.720602577318869,6.857437564739018,22.61174216936873,-0.21273441442128727
0.124,2.8027333408530404,6.873489943236921,22.604447767692534,0.17108523150184796
0.126,2.886951125148753,6.89044424425736,22.598402699450144,1.3189097425662228
0.128,2.966488636557893,6.908279417900729,22.593597140260197,0.20993997539774456
0.13,3.0474723649299027,6.926970764423089,22.59001731765673,1.1777832453491317
0.132,3.1291064514839833,6.9465215972704835,22.58768644262575,1.527817412135508
0.134,3.2079508694624606,6.966911606462596,22.586598664759695,1.2417676900995744
0.136,3.285280471526457,6.98810841855732,22.586733271455472,1.165098670931586
0.138,3.364020127594101,7.010101935003664,22.588098970763216,1.6207687198827627
0.14,3.4408920051635974,7.032879375208706,22.590702123612537,1.4990447207549966
