y, u
0.08974, 0.77618
0.09319, 0.77618
0.09664, 0.77618
0.10124, 0.77618
0.10354, 0.77618
0.10700, 0.77618
0.11045, 0.77618
0.11275, 0.77618
0.11620, 0.77618
0.11965, 0.77618
0.12195, 0.77618
0.12540, 0.77618
0.12885, 0.77618
0.13116, 0.77618
0.13461, 0.77618
0.13806, 0.77618
0.13921, 0.77618
0.14266, 0.77618
0.14381, 0.77618
0.14496, 0.77618
0.14726, 0.77618
0.14726, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14841, 0.77618
0.14726, 0.77618
0.14496, 0.77618
0.14381, 0.77618
0.14266, 0.77618
0.14036, 0.77618
0.13921, 0.77618
0.13576, 0.77618
0.13461, 0.77618
0.13116, 0.77618
0.12885, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12080, 0.77618
0.11735, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10239, 0.77618
0.10124, 0.77618
0.09894, 0.77618
0.09664, 0.77618
0.09434, 0.77618
0.09319, 0.77618
0.09204, 0.77618
0.09204, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.08974, 0.77618
0.09204, 0.77618
0.09319, 0.77618
0.09319, 0.77618
0.09434, 0.77618
0.09664, 0.77618
0.09779, 0.77618
0.09894, 0.77618
0.10124, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10815, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.13000, 0.77618
0.13116, 0.77618
0.13346, 0.77618
0.13461, 0.77618
0.13576, 0.77618
0.13921, 0.77618
0.13921, 0.77618
0.14036, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14381, 0.77618
0.14381, 0.77618
0.14266, 0.77618
0.14266, 0.77618
0.14036, 0.77618
0.14036, 0.77618
0.13921, 0.77618
0.13806, 0.77618
0.13576, 0.77618
0.13461, 0.77618
0.13346, 0.77618
0.13116, 0.77618
0.13000, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10354, 0.77618
0.10239, 0.77618
0.10124, 0.77618
0.10124, 0.77618
0.09894, 0.77618
0.09894, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09779, 0.77618
0.09894, 0.77618
0.09894, 0.77618
0.10124, 0.77618
0.10124, 0.77618
0.10239, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.12885, 0.77618
0.13000, 0.77618
0.13116, 0.77618
0.13116, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13461, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13346, 0.77618
0.13116, 0.77618
0.13000, 0.77618
0.12885, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10700, 0.77618
0.10584, 0.77618
0.10584, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10239, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10354, 0.77618
0.10584, 0.77618
0.10584, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.13000, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12885, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12655, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10700, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.10815, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12540, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11045, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11965, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11160, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11275, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11735, 0.77618
0.11735, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.77618
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11505, 0.74299
0.11275, 0.74299
0.11275, 0.74299
0.11275, 0.74299
0.11275, 0.74299
0.11275, 0.74299
0.11160, 0.74299
0.11160, 0.74299
0.11160, 0.74299
0.11160, 0.74299
0.11045, 0.74299
0.11045, 0.74299
0.10815, 0.74299
0.10815, 0.74299
0.10815, 0.74299
0.10815, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10584, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.09894, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10700, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10700, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10700, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10584, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10124, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10239, 0.74299
0.10354, 0.74299
0.10354, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
0.10239, 0.74299
