time,input,angle,angular_speed
0.0,0.0,0.7787864272803326,0.7787864272803326
0.1,-0.0,-0.1605665541193006,-0.1605665541193006
0.2,0.0,-0.40879281951391644,-0.40879281951391644
0.30000000000000004,-0.0,0.006815389694660001,0.006815389694660001
0.4,0.7557727771853935,-1.1138042015415555,-1.1138042015415555
0.5,-0.0,-0.1961762894371321,-0.1961762894371321
0.6000000000000001,0.0,0.2000987352828123,0.2000987352828123
0.7000000000000001,-0.0,0.3990211991396286,0.3990211991396286
0.8,0.0,0.97876562975671,0.97876562975671
0.9,-0.5033823685249073,0.10676282241325524,0.10676282241325524
1.0,0.0,-0.4768368193803646,-0.4768368193803646
1.1,-0.0,-0.8641962702262221,-0.8641962702262221
1.2000000000000002,0.16278079242772148,-1.2199517641016175,-1.2199517641016175
1.3,-0.3393689527312641,-0.7925075836994997,-0.7925075836994997
1.4000000000000001,0.0,-0.4176794863108004,-0.4176794863108004
1.5,-0.6812740624888272,0.8497985463751454,0.8497985463751454
1.6,0.0,0.3316937234434582,0.3316937234434582
1.7000000000000002,-0.16262591818223626,0.653406368763803,0.653406368763803
1.8,0.0,-0.5646774580307075,-0.5646774580307075
1.9000000000000001,-0.0,-1.0461864601766542,-1.0461864601766542
2.0,0.0,-0.08209321284898752,-0.08209321284898752
2.1,-0.16800262084453332,-1.4573066106170103,-1.4573066106170103
2.2,0.0,0.5097854153584488,0.5097854153584488
2.3000000000000003,-0.0,1.1107993806924403,1.1107993806924403
2.4000000000000004,0.3613850289397006,0.44505486165249586,0.44505486165249586
2.5,-0.7471547915779638,-0.1020125219255682,-0.1020125219255682
2.6,0.0,-0.49064396822571255,-0.49064396822571255
2.7,-0.9332578706422998,-0.39544457174462866,-0.39544457174462866
2.8000000000000003,0.7982071302042688,-0.5142029200866612,-0.5142029200866612
2.9000000000000004,-0.9771925450986034,-0.6835693261359708,-0.6835693261359708
3.0,0.16686161982196823,0.11939744201272923,0.11939744201272923
3.1,-0.24968639817743676,0.7724155087287756,0.7724155087287756
3.2,0.46444540173520554,0.9112622775176578,0.9112622775176578
3.3000000000000003,-0.0,0.967691188150142,0.967691188150142
3.4000000000000004,0.0,-0.6531959280066505,-0.6531959280066505
3.5,-0.0,-0.7176533123912039,-0.7176533123912039
3.6,0.10706739261289777,-0.8411681735591192,-0.8411681735591192
3.7,-0.946936102922679,-0.6894538176979663,-0.6894538176979663
3.8000000000000003,0.0,0.01279701430918341,0.01279701430918341
3.9000000000000004,-0.16873517033560315,0.31838263393746646,0.31838263393746646
4.0,0.0,0.43924672416030847,0.43924672416030847
4.1000000000000005,-0.14487535256695627,1.3069348788251332,1.3069348788251332
4.2,0.5281793611713762,-1.183648952864482,-1.183648952864482
4.3,-0.0,-1.1584049748512775,-1.1584049748512775
4.4,0.7907033242674103,0.3154925818703107,0.3154925818703107
4.5,-0.0,-0.52920972428765,-0.52920972428765
4.6000000000000005,0.0,0.09231188024019624,0.09231188024019624
4.7,-0.4376260271761737,0.44608932877316243,0.44608932877316243
4.800000000000001,0.0,0.3470074797863371,0.3470074797863371
4.9,-0.958613755177451,1.5757577610468876,1.5757577610468876
5.0,0.5685095656282009,-0.7638032269352637,-0.7638032269352637
5.1000000000000005,-0.2818978693717934,-0.8713442127002549,-0.8713442127002549
5.2,0.9310869641931657,-0.616842095451284,-0.616842095451284
5.300000000000001,-0.8901656943089129,0.5080890256385555,0.5080890256385555
5.4,0.6464765858711989,0.4386722021762344,0.4386722021762344
5.5,-0.994948640023211,0.6010205675055266,0.6010205675055266
5.6000000000000005,0.0,0.8771543816152763,0.8771543816152763
5.7,-0.27218127780569557,0.7783176925364748,0.7783176925364748
5.800000000000001,0.6582414940639406,0.7417953712164136,0.7417953712164136
5.9,-0.0,-0.23230733553761812,-0.23230733553761812
6.0,0.0,-0.11215081281640782,-0.11215081281640782
6.1000000000000005,-0.69773965487301,-0.749935501187813,-0.749935501187813
6.2,0.0,-0.8108234932626168,-0.8108234932626168
6.300000000000001,-0.0,0.11226421017636007,0.11226421017636007
6.4,0.7405025530481472,0.12054951096408806,0.12054951096408806
6.5,-0.0,-0.18548022579198442,-0.18548022579198442
6.6000000000000005,0.548571819985317,-0.45278820597432506,-0.45278820597432506
6.7,-0.0,-0.41214222084292634,-0.41214222084292634
6.800000000000001,0.0,0.12541105778714068,0.12541105778714068
6.9,-0.9285988813920318,-0.9361871113170542,-0.9361871113170542
7.0,0.0,0.41246868101873196,0.41246868101873196
7.1000000000000005,-0.19630928538682857,-0.34837903521962893,-0.34837903521962893
7.2,0.4842452359729761,0.9753607796230941,0.9753607796230941
7.300000000000001,-0.14118875960614297,0.44586971463285685,0.44586971463285685
7.4,0.34566765322873216,0.5239088140272206,0.5239088140272206
7.5,-0.14829532760693487,-0.05452026031547405,-0.05452026031547405
7.6000000000000005,0.0,-1.212495561134526,-1.212495561134526
7.7,-0.22999296491443888,-0.4840623918580702,-0.4840623918580702
7.800000000000001,0.0,-0.45068941443562316,-0.45068941443562316
7.9,-0.0,0.9903202666654253,0.9903202666654253
8.0,0.475420959182018,0.3277998656432843,0.3277998656432843
8.1,-0.9593951849532275,0.020278278105069325,0.020278278105069325
8.200000000000001,0.1937896205865366,0.6810584150263956,0.6810584150263956
8.3,-0.680732407625963,-0.7480513924366183,-0.7480513924366183
8.4,0.017001554600378888,-0.6616001768774981,-0.6616001768774981
8.5,-0.0,-0.6403252999148841,-0.6403252999148841
8.6,0.0,0.8721729534633009,0.8721729534633009
8.700000000000001,-0.0,0.39436956300657844,0.39436956300657844
