time,x,y,u
0.0,4.118877729650245e-05,0.04113831700330465,0.5407732923039993
0.002,0.00016624016370164342,0.08385891554017307,0.56560722600609
0.004,0.00038970814661327345,0.1395371994471181,0.7402665543348358
0.006,0.0007202309755612152,0.1909166622838082,0.6894986654433033
0.008,0.0011849707674260054,0.273713436792002,1.1079929576762855
0.01,0.0017774129221238238,0.31866192222609346,0.6192270350355118
0.012,0.0024566449000130606,0.36050515383213444,0.5837322727835257
0.014,0.003169180723843328,0.3520257112537341,-0.0726011294084804
0.016,0.003892854896311859,0.37160944147126,0.29667162963050575
0.018000000000000002,0.004677009455559477,0.41247915430137605,0.579580331296044
0.02,0.005598237940777896,0.5086138381928412,1.3113042812830202
0.022,0.006648892407201878,0.5419780340818442,0.4969797890617502
0.024,0.0077959430772882015,0.6049722763179372,0.8914489730191665
0.026000000000000002,0.009057875604930148,0.6568708180154208,0.7535857214349684
0.028,0.010394171668208808,0.6793696628479191,0.37423466574073
0.03,0.011822635701339979,0.7489800427653374,0.9979330564399661
0.032,0.01336211544034865,0.7904169612171739,0.6366871864624842
0.034,0.014997106897538384,0.8444745159026934,0.8091597831303172
0.036000000000000004,0.01681179587539459,0.9700244874373577,1.7568927753389274
0.038,0.018830210342932047,1.0482527032420987,1.1499764102296883
0.04,0.021032712662196588,1.1540751615434208,1.5236285912362453
0.042,0.02347529847405562,1.2882968562022594,1.9108304823653708
0.044,0.02617195307140539,1.408155850498676,1.7390553108988926
0.046,0.029051784325831165,1.4715376871801882,1.012715669675013
0.048,0.032010070165432815,1.4866669278863534,0.38935202210787934
0.05,0.034992131991238136,1.4953209775382144,0.3106422161003485
0.052000000000000005,0.03802029594321447,1.5327334176129623,0.6945016047786586
0.054,0.04117206822745733,1.618867962882978,1.343637598829858
0.056,0.0443858209114531,1.5948452764780772,-0.09083170338143487
0.058,0.04767405892215781,1.6932042112632355,1.5209638308476294
0.06,0.0510636881276264,1.696349083995924,0.28433113784535724
0.062,0.054481543026409604,1.7214029104299764,0.5782998893589122
0.064,0.05786900561341968,1.6660543388986755,-0.4704811441336678
0.066,0.06125217364476221,1.7169803703883302,0.9268507321232677
0.068,0.06480702694646844,1.837651912181978,1.8542343509809482
0.07,0.06858042415309222,1.9355470998092574,1.572403752824402
0.07200000000000001,0.07250049248815411,1.9843790796473035,0.9431940687388041
0.074,0.0765366086081341,2.0515703156478184,1.1957830619073901
0.076,0.08061307181790998,2.024838542069339,-0.025644403194510224
0.078,0.08464797783993071,2.0099997042759865,0.1349165772429528
0.08,0.0886801396451093,2.022061989599644,0.4938385954671421
0.082,0.09272657816496171,2.024288002186023,0.37242459937351824
0.084,0.09678490642874793,2.033942560312544,0.4770340709544385
0.08600000000000001,0.10086861354455445,2.049659043951561,0.5644122057937799
0.088,0.10507225342760464,2.1537662875850865,1.7346466698166103
0.09,0.10944476985288931,2.218579409771475,1.2351485873692618
0.092,0.11388866992971652,2.225218588252969,0.4839609941803235
0.094,0.11836304749209522,2.2490355944605396,0.7177987544834352
0.096,0.12292799549899638,2.3157354827437726,1.2912381003528843
0.098,0.12745781147698046,2.214107243569753,-0.9074628359963783
0.1,0.13192235345480902,2.2502968085521347,0.9019121322549454
0.10200000000000001,0.13641806475915133,2.2453255780933015,0.3717404509597195
0.10400000000000001,0.14098710655426278,2.3235255672456305,1.4720231703479651
0.106,0.14564064387652575,2.3299059490149503,0.543046831009038
0.108,0.1502963676722407,2.3257247911282986,0.4125355921189019
0.11,0.1550250835980851,2.4027986775132497,1.4879557196689657
0.112,0.15988770945665048,2.459656347179769,1.237457821054427
0.114,0.16492821736084523,2.5805998244745014,2.093397031252869
0.116,0.17008816080598949,2.5792368819934888,0.5056290677869331
0.11800000000000001,0.17525793376358298,2.5904141124120823,0.6788546622568188
0.12,0.18044484171329195,2.596377897909744,0.6199217402654724
0.122,0.1855795624994872,2.538305325670737,-0.21273441442128727
0.124,0.19062715256371002,2.5092141715206453,0.17108523150184796
0.126,0.19570356631817856,2.567023777309246,1.3189097425662228
0.128,0.20081007605784054,2.539412590604118,0.20993997539774456
0.13,0.20593464398931474,2.584993486910169,1.1777832453491317
0.132,0.2111760622256895,2.6562296543391843,1.527817412135508
0.134,0.216536991957612,2.704530262259817,1.2417676900995744
0.136,0.22198766310254886,2.745977594125134,1.165098670931586
0.138,0.22755495515857066,2.821108294702581,1.6207687198827627
0.14,0.2332619973658989,2.8857376549063245,1.4990447207549966
0.14200000000000002,0.2390026416027354,2.8548249434497244,0.2586442603049526
0.14400000000000002,0.2447422289744428,2.8846078230195586,1.0628604085811644
0.146,0.2505681875299916,2.941162247801083,1.4269699239815712
0.148,0.2564953693346376,2.98584347604623,1.2857909550302598
0.15,0.26238917392647365,2.907933667293511,-0.31179371853248505
0.152,0.26820397187196754,2.906746173102777,0.6987618061412986
0.154,0.2739538906787001,2.843131292047431,-0.11258837311205439
0.156,0.2796511849982008,2.854033140810334,0.8700894297783407
0.158,0.2854529208073057,2.947471358682304,1.9652656640280426
0.16,0.29136597170968903,2.9654371295963387,0.9914834064316187
0.162,0.2973829349606197,3.051299970120423,1.8952174940155226
0.164,0.3033819072524853,2.9476751468842677,-0.5777387927521609
0.166,0.30927489819440035,2.945199087703064,0.7514871358055584
0.168,0.3151715254911821,2.9513013140756743,0.8734092270587608
0.17,0.32098326174400743,2.8604268728723015,-0.39139740764829556
0.17200000000000001,0.32667175372173357,2.8279893200072204,0.37724853216972887
0.17400000000000002,0.33232730197999344,2.827445597158917,0.8023951671422469
